name,website_url,tagline,classification_id,_classification,logo_url,_include
XML,,,0,None,,0
Favicon,,,0,None,,0
LAMP,,,0,None,,0
SOAP,,,0,None,,0
URL,,,0,None,,0
SMTP,,,0,None,,0
Go,,,0,None,,0
Sprockets,,,0,None,,0
Webstorm,,,0,None,,0
Rubymine,,,0,None,,0
SublimeText,,,0,None,,0
Visual Studio,,,0,None,,0
Symfony,,,0,None,,0
BEM,bem.info,,0,None,,0
cold fusion,,,0,None,,0
react,,,0,None,,0
jetpack,,,0,None,,0
requirejs,,,0,None,,0
zepto.js,,,0,None,,0
yui,,,0,None,,0
dojo.js,,,0,None,,0
mootools.js,,,0,None,,0
handlebars.js,,,0,None,,0
ember.js,,,0,None,,0
backbone.js,,,0,None,,0
raphael.js,,,0,None,,0
modernizr.js,,,0,None,,0
yepnode.js,,,0,None,,0
polymer,,,0,None,,0
ext.js,,,0,None,,0
knockout.js,,,0,None,,0
sammy.js,,,0,None,,0
breeze.js,,,0,None,,0
traceur,,,0,None,,0
broccoli,,,0,None,,0
suzy,,,0,None,,0
bourbon,http://bourbon.io/,,0,None,,0
honey badger,,,0,None,,0
roll bar,,,0,None,,0
hadoop,,,0,None,,0
electron,http://electron.atom.io/,,0,None,,0
travis ci,,,0,None,,0
phusion passenger,,,0,None,,0
puma,,,0,None,,0
unicorn,,,0,None,,0
torquebox,,,0,None,,0
php,,,0,None,,0
ngrok,,,0,None,,0
pusher,pusher.com,,0,None,,0
codeship,,,0,None,,0
Elixir,,,0,None,,0
atom,github editor,,0,None,,0
meteor,https://www.meteor.com/,,0,None,,0
lua,,,0,None,,0
croogo,https://croogo.org/,,0,None,,0
joomla,,,0,None,,0
slack,,,0,None,,0
togglr,,,0,None,,0
sinatra,http://www.sinatrarb.com/intro.html,,0,None,,0
celery,http://www.celeryproject.org/,,0,None,,0
sidekiq,,,0,None,,0
capistrano,,,0,None,,0
rollup,https://github.com/rollup,,0,None,,0
babel,https://babeljs.io/,,0,None,,0
jsx,https://jsx.github.io/,,0,None,,0
puppet,,,0,None,,0
chef,,,0,None,,0
mercurial,,,0,None,,0
apache cordova,https://cordova.apache.org/,,0,None,,0
ionic,http://ionicframework.com/,,0,None,,0
phonegap,http://phonegap.com/,,0,None,,0
RSpec,http://rspec.info/,,0,None,,0
Cucumber,https://cucumber.io/,,0,None,,0
Zapier,https://zapier.com/,,0,None,,0
Jira,https://www.atlassian.com/software/jira,,0,None,,0
Trello,https://trello.com/,,0,None,,0
slim,http://slim-lang.com/,,0,None,,0
docker,docker.com,designed to be easily dropped in to a host library.,0,None,,0
vagrant,vagrantup.com,"Create and configure lightweight, reproducible, and portable development environments.",0,None,,0
Tectonic,tectonic.com,The smartest way to run your container infrastructure,0,None,,0
Kubernetes,http://kubernetes.io/,Manage a cluster of Linux containers as a single system to accelerate Dev and simplify Ops.,0,None,,0
Twig,http://twig.sensiolabs.org/,"The flexible, fast, and secure template engine for PHP",0,None,,0
Ansible,http://www.ansible.com,Deploy apps. Manage systems. Crush complexity.,0,None,,0
lodash,lodash.com,"A JavaScript utility library delivering consistency, modularity, performance, & extras.",0,None,,0
New Relic,http://newrelic.com/,Actionable insights to monitor and improve the performance of your applications.,0,None,,0
Flux,,Application architecture for building user interfaces,0,None,,0
Compass,http://compass-style.org/,...is an open-source CSS Authoring Framework.,0,None,,0
Coveralls,https://coveralls.io/,We help you deliver code confidently by showing which parts of your code aren’t covered by your test suite.,0,None,,0
Vue.js,http://vuejs.org/,Reactive Components for Modern Web Interfaces,0,None,http://vuejs.org/images/logo.png,0
Azure,,,0,None,,0
AWS,,,0,None,,0
OpenShift,,,0,None,,0
mongoDB,,,0,None,http://photos2.meetupstatic.com/photos/event/9/5/c/0/highres_21338336.jpeg,0
mariaDB,,,,,,0
postgres,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
